Date,Price,Note
2008-12-18,133400000 gp,
2008-12-19,133400000 gp,
2008-12-20,133400000 gp,
2008-12-21,133400000 gp,
2008-12-22,132100000 gp,
2008-12-23,132100000 gp,
2008-12-24,132100000 gp,
2008-12-25,132100000 gp,
2008-12-26,132100000 gp,
2008-12-27,130700000 gp,
2008-12-28,130700000 gp,
2008-12-29,129400000 gp,
2008-12-30,129400000 gp,
2008-12-31,129400000 gp,
2009-01-01,129400000 gp,
2009-01-02,128200000 gp,
2009-01-03,128200000 gp,
2009-01-04,128200000 gp,
2009-01-05,126900000 gp,
2009-01-06,126900000 gp,
2009-01-07,126900000 gp,
2009-01-08,125600000 gp,
2009-01-09,125600000 gp,
2009-01-10,125600000 gp,
2009-01-11,124400000 gp,
2009-01-12,124400000 gp,
2009-01-13,124400000 gp,
2009-01-14,124400000 gp,
2009-01-15,123100000 gp,
2009-01-16,123100000 gp,
2009-01-17,121900000 gp,
2009-01-18,121900000 gp,
2009-01-19,121900000 gp,
2009-01-20,120700000 gp,
2009-01-21,120700000 gp,
2009-01-22,120700000 gp,
2009-01-23,120700000 gp,
2009-01-24,119500000 gp,
2009-01-25,119500000 gp,
2009-01-26,119500000 gp,
2009-01-27,118300000 gp,
2009-01-28,118300000 gp,
2009-01-29,117100000 gp,
2009-01-30,117100000 gp,
2009-01-31,115900000 gp,
2009-02-01,115900000 gp,
2009-02-02,115900000 gp,
2009-02-03,114800000 gp,
2009-02-04,114800000 gp,
2009-02-05,113600000 gp,
2009-02-06,113600000 gp,
2009-02-07,113600000 gp,
2009-02-08,113600000 gp,
2009-02-09,112500000 gp,
2009-02-10,112500000 gp,
2009-02-11,112500000 gp,
2009-02-12,112500000 gp,
2009-02-13,112500000 gp,
2009-02-14,111400000 gp,
2009-02-15,111400000 gp,
2009-02-16,111400000 gp,
2009-02-17,111400000 gp,
2009-02-18,110300000 gp,
2009-02-19,110300000 gp,
2009-02-20,110300000 gp,
2009-02-21,110300000 gp,
2009-02-22,109200000 gp,
2009-02-23,109200000 gp,
2009-02-24,109200000 gp,
2009-02-25,109200000 gp,
2009-02-26,108100000 gp,
2009-02-27,108100000 gp,
2009-02-28,107000000 gp,
2009-03-01,107000000 gp,
2009-03-02,107000000 gp,
2009-03-03,107000000 gp,
2009-03-04,107000000 gp,
2009-03-05,107000000 gp,
2009-03-06,106000000 gp,
2009-03-07,106000000 gp,
2009-03-08,106000000 gp,
2009-03-09,106000000 gp,
2009-03-10,106000000 gp,
2009-03-11,104900000 gp,
2009-03-12,104900000 gp,
2009-03-13,104900000 gp,
2009-03-14,103900000 gp,
2009-03-15,103900000 gp,
2009-03-16,103900000 gp,
