Date,Price,Note
2009-01-02,153300 gp,
2009-01-03,160300 gp,
2009-01-04,158700 gp,
2009-01-05,151800 gp,
2009-01-06,144600 gp,
2009-01-07,138500 gp,
2009-01-08,132200 gp,
2009-01-09,129300 gp,
2009-01-10,129300 gp,
2009-01-11,135600 gp,
2009-01-12,148800 gp,
2009-01-13,148800 gp,
2009-01-14,155700 gp,
2009-01-15,160500 gp,
2009-01-16,165300 gp,
2009-01-17,168100 gp,
2009-01-18,168100 gp,
2009-01-19,152500 gp,
2009-01-20,145200 gp,
2009-01-21,145200 gp,
2009-01-22,131500 gp,
2009-01-23,131500 gp,
2009-01-24,124000 gp,
2009-01-25,124000 gp,
2009-01-26,129400 gp,
2009-01-27,141900 gp,
2009-01-28,141900 gp,
2009-01-29,143500 gp,
2009-01-30,137000 gp,
2009-01-31,130700 gp,
2009-02-01,130700 gp,
2009-02-02,125100 gp,
2009-02-03,120900 gp,
2009-02-04,128900 gp,
2009-02-05,128900 gp,
2009-02-06,127100 gp,
2009-02-07,127100 gp,
2009-02-08,121600 gp,
2009-02-09,121800 gp,
2009-02-10,121800 gp,
2009-02-11,124400 gp,
2009-02-12,124200 gp,
2009-02-13,120900 gp,
2009-02-14,121700 gp,
2009-02-15,125600 gp,
2009-02-16,132100 gp,
2009-02-17,132100 gp,
2009-02-18,124700 gp,
2009-02-19,124700 gp,
2009-02-20,119500 gp,
2009-02-21,119500 gp,
2009-02-22,125100 gp,
2009-02-23,130400 gp,
2009-02-24,132500 gp,
2009-02-25,128900 gp,
2009-02-26,122600 gp,
2009-02-27,116200 gp,
2009-02-28,121000 gp,
2009-03-01,121100 gp,
2009-03-02,119400 gp,
2009-03-03,120800 gp,
2009-03-04,120800 gp,
2009-03-05,121800 gp,
2009-03-06,125700 gp,
2009-03-07,129000 gp,
2009-03-08,127500 gp,
2009-03-09,127000 gp,
2009-03-10,127000 gp,
2009-03-11,127900 gp,
2009-03-12,132800 gp,
2009-03-13,132800 gp,
2009-03-14,132100 gp,
2009-03-15,131800 gp,
2009-03-16,132000 gp,
2009-03-17,133800 gp,
2009-03-18,136600 gp,
2009-03-19,137900 gp,
2009-03-20,139500 gp,
2009-03-21,139800 gp,
2009-03-22,139100 gp,
2009-03-23,135900 gp,
2009-03-24,133900 gp,
2009-03-25,133400 gp,
2009-03-26,134300 gp,
2009-03-27,134300 gp,
2009-03-28,134900 gp,
2009-03-29,133500 gp,
2009-03-30,132200 gp,
2009-03-31,132200 gp,
2009-04-01,138400 gp,
2009-04-02,138400 gp,
2009-04-03,144800 gp,
2009-04-04,150600 gp,
2009-04-05,150600 gp,
2009-04-06,146500 gp,
2009-04-07,144400 gp,
2009-04-08,146500 gp,
2009-04-09,148900 gp,
2009-04-10,153900 gp,
2009-04-11,161500 gp,
2009-04-12,164100 gp,
2009-04-13,164100 gp,
2009-04-14,172300 gp,
2009-04-15,176600 gp,
2009-04-16,176600 gp,
2009-04-17,182100 gp,
2009-04-18,193700 gp,
2009-04-19,193700 gp,
2009-04-20,199000 gp,
2009-04-21,201000 gp,
2009-04-22,196600 gp,
2009-04-23,188400 gp,
2009-04-24,180900 gp,
2009-04-25,177100 gp,
2009-04-26,180500 gp,
2009-04-27,177500 gp,
2009-04-28,175600 gp,
2009-04-29,175600 gp,
2009-04-30,170000 gp,
2009-05-01,162500 gp,
2009-05-02,160500 gp,
2009-05-03,160500 gp,
2009-05-04,162400 gp,
2009-05-05,166300 gp,
2009-05-06,169000 gp,
2009-05-07,162300 gp,
2009-05-08,162300 gp,
2009-05-09,154300 gp,
2009-05-10,146700 gp,
2009-05-11,143700 gp,
2009-05-12,149800 gp,
2009-05-13,143900 gp,
2009-05-14,136900 gp,
2009-05-15,136900 gp,
2009-05-16,130400 gp,
2009-05-17,129300 gp,
2009-05-18,133700 gp,
2009-05-19,139000 gp,
2009-05-20,138100 gp,
2009-05-21,133000 gp,
2009-05-22,132200 gp,
2009-05-23,135200 gp,
2009-05-24,143100 gp,
2009-05-25,150000 gp,
2009-05-26,150000 gp,
2009-05-27,164500 gp,
2009-05-28,164500 gp,
2009-05-29,171500 gp,
2009-05-30,187900 gp,
2009-05-31,197000 gp,
2009-06-01,194100 gp,
2009-06-02,194100 gp,
2009-06-03,166900 gp,
2009-06-04,150900 gp,
2009-06-05,150900 gp,
2009-06-06,143500 gp,
2009-06-07,130000 gp,
2009-06-08,123900 gp,
2009-06-09,124500 gp,
2009-06-10,130500 gp,
2009-06-11,143000 gp,
2009-06-12,143000 gp,
2009-06-13,147600 gp,
2009-06-14,149500 gp,
2009-06-15,142600 gp,
2009-06-16,131900 gp,
2009-06-17,135400 gp,
2009-06-18,135400 gp,
2009-06-19,141600 gp,
2009-06-20,148000 gp,
2009-06-21,154500 gp,
2009-06-22,158100 gp,
2009-06-23,147400 gp,
2009-06-24,143800 gp,
2009-06-25,143800 gp,
2009-06-26,143500 gp,
2009-06-27,155300 gp,
2009-06-28,155300 gp,
2009-06-29,160800 gp,
2009-06-30,161700 gp,
2009-07-01,162700 gp,
2009-07-02,166700 gp,
2009-07-03,157700 gp,
2009-07-04,157700 gp,
2009-07-05,155600 gp,
2009-07-06,169200 gp,
2009-07-07,175500 gp,
2009-07-08,175500 gp,
2009-07-09,181400 gp,
2009-07-10,194200 gp,
2009-07-11,194200 gp,
2009-07-12,195600 gp,
2009-07-13,197600 gp,
2009-07-14,196700 gp,
2009-07-15,178800 gp,
2009-07-16,170000 gp,
2009-07-17,161700 gp,
2009-07-18,172400 gp,
2009-07-19,172400 gp,
2009-07-20,176100 gp,
2009-07-21,183100 gp,
2009-07-22,183100 gp,
2009-07-23,188700 gp,
2009-07-24,193400 gp,
2009-07-25,197900 gp,
2009-07-26,202100 gp,
2009-07-27,202100 gp,
2009-07-28,204400 gp,
2009-07-29,204400 gp,
2009-07-30,212300 gp,
2009-07-31,221300 gp,
2009-08-01,230800 gp,
2009-08-02,240100 gp,
2009-08-03,245400 gp,
2009-08-04,250400 gp,
2009-08-05,255500 gp,
2009-08-06,264600 gp,
2009-08-07,270700 gp,
2009-08-08,274800 gp,
2009-08-09,271900 gp,
2009-08-10,259600 gp,
2009-08-11,247000 gp,
2009-08-12,235700 gp,
2009-08-13,224400 gp,
2009-08-14,207600 gp,
2009-08-15,211700 gp,
2009-08-16,211700 gp,
2009-08-17,227800 gp,
2009-08-18,227100 gp,
2009-08-19,227100 gp,
2009-08-20,222300 gp,
2009-08-21,222300 gp,
2009-08-22,221400 gp,
2009-08-23,220500 gp,
2009-08-24,203300 gp,
2009-08-25,203300 gp,
2009-08-26,190700 gp,
2009-08-27,190700 gp,
2009-08-28,197300 gp,
2009-08-29,206100 gp,
2009-08-30,215200 gp,
2009-08-31,215500 gp,
2009-09-01,231500 gp,
2009-09-02,254900 gp,
2009-09-03,267500 gp,
2009-09-04,277000 gp,
2009-09-05,288300 gp,
2009-09-06,331500 gp,
2009-09-07,331500 gp,
2009-09-08,347200 gp,
2009-09-09,346500 gp,
2009-09-10,329900 gp,
2009-09-11,313700 gp,
2009-09-12,298500 gp,
2009-09-13,270500 gp,
2009-09-14,257200 gp,
2009-09-15,232600 gp,
2009-09-16,223200 gp,
2009-09-17,223200 gp,
2009-09-18,227800 gp,
2009-09-19,237100 gp,
2009-09-20,247500 gp,
2009-09-21,259600 gp,
2009-09-22,246600 gp,
2009-09-23,234300 gp,
2009-09-24,215900 gp,
2009-09-25,215900 gp,
2009-09-26,210700 gp,
2009-09-27,230900 gp,
2009-09-28,230900 gp,
2009-09-29,248900 gp,
2009-09-30,248900 gp,
2009-10-01,250000 gp,
2009-10-02,250000 gp,
