Date,Price,Note
2008-12-18,1400000 gp,
2008-12-19,1400000 gp,
2008-12-20,1400000 gp,
2008-12-21,1500000 gp,
2008-12-22,1500000 gp,
2008-12-23,1500000 gp,
2008-12-24,1500000 gp,
2008-12-25,1600000 gp,
2008-12-26,1600000 gp,
2008-12-27,1500000 gp,
2008-12-28,1500000 gp,
2008-12-29,1500000 gp,
2008-12-30,1500000 gp,
2008-12-31,1500000 gp,
2009-01-01,1500000 gp,
2009-01-02,1600000 gp,
2009-01-03,1500000 gp,
2009-01-04,1500000 gp,
2009-01-05,1500000 gp,
2009-01-06,1500000 gp,
2009-01-07,1500000 gp,
2009-01-08,1500000 gp,
2009-01-09,1500000 gp,
2009-01-10,1500000 gp,
2009-01-11,1500000 gp,
2009-01-12,1500000 gp,
2009-01-13,1500000 gp,
2009-01-14,1600000 gp,
2009-01-15,1500000 gp,
2009-01-16,1500000 gp,
2009-01-17,1500000 gp,
2009-01-18,1500000 gp,
2009-01-19,1500000 gp,
2009-01-20,1500000 gp,
2009-01-21,1500000 gp,
2009-01-22,1500000 gp,
2009-01-23,1500000 gp,
2009-01-24,1500000 gp,
2009-01-25,1500000 gp,
2009-01-26,1500000 gp,
2009-01-27,1500000 gp,
2009-01-28,1500000 gp,
2009-01-29,1500000 gp,
2009-01-30,1500000 gp,
2009-01-31,1500000 gp,
2009-02-01,1500000 gp,
2009-02-02,1500000 gp,
2009-02-03,1500000 gp,
2009-02-04,1500000 gp,
2009-02-05,1500000 gp,
2009-02-06,1500000 gp,
2009-02-07,1500000 gp,
2009-02-08,1500000 gp,
2009-02-09,1500000 gp,
2009-02-10,1500000 gp,
2009-02-11,1500000 gp,
2009-02-12,1500000 gp,
2009-02-13,1500000 gp,
2009-02-14,1500000 gp,
2009-02-15,1500000 gp,
2009-02-16,1500000 gp,
2009-02-17,1500000 gp,
2009-02-18,1500000 gp,
2009-02-19,1500000 gp,
2009-02-20,1500000 gp,
2009-02-21,1500000 gp,
2009-02-22,1500000 gp,
2009-02-23,1500000 gp,
2009-02-24,1500000 gp,
2009-02-25,1500000 gp,
2009-02-26,1500000 gp,
2009-02-27,1500000 gp,
2009-02-28,1500000 gp,
2009-03-01,1500000 gp,
2009-03-02,1500000 gp,
2009-03-03,1500000 gp,
2009-03-04,1500000 gp,
2009-03-05,1400000 gp,
2009-03-06,1500000 gp,
2009-03-07,1500000 gp,
2009-03-08,1500000 gp,
2009-03-09,1400000 gp,
2009-03-10,1400000 gp,
2009-03-11,1400000 gp,
2009-03-12,1400000 gp,
2009-03-13,1400000 gp,
2009-03-14,1400000 gp,
2009-03-15,1400000 gp,
2009-03-16,1500000 gp,
2009-03-17,1500000 gp,
2009-03-18,1400000 gp,
2009-03-19,1400000 gp,
2009-03-20,1400000 gp,
2009-03-21,1400000 gp,
2009-03-22,1400000 gp,
2009-03-23,1400000 gp,
2009-03-24,1400000 gp,
2009-03-25,1400000 gp,
2009-03-26,1400000 gp,
2009-03-27,1400000 gp,
2009-03-28,1400000 gp,
2009-03-29,1400000 gp,
2009-03-30,1400000 gp,
2009-03-31,1400000 gp,
2009-04-01,1400000 gp,
2009-04-02,1400000 gp,
2009-04-03,1400000 gp,
2009-04-04,1400000 gp,
2009-04-05,1400000 gp,
2009-04-06,1400000 gp,
2009-04-07,1400000 gp,
2009-04-08,1400000 gp,
2009-04-09,1400000 gp,
2009-04-10,1400000 gp,
2009-04-11,1500000 gp,
2009-04-12,1500000 gp,
2009-04-13,1500000 gp,
2009-04-14,1500000 gp,
2009-04-15,1500000 gp,
2009-04-16,1500000 gp,
2009-04-17,1500000 gp,
2009-04-18,1500000 gp,
2009-04-19,1500000 gp,
2009-04-20,1500000 gp,
2009-04-21,1500000 gp,
2009-04-22,1500000 gp,
2009-04-23,1500000 gp,
2009-04-24,1500000 gp,
2009-04-25,1500000 gp,
2009-04-26,1500000 gp,
2009-04-27,1500000 gp,
2009-04-28,1500000 gp,
2009-04-29,1500000 gp,
2009-04-30,1500000 gp,
2009-05-01,1500000 gp,
2009-05-02,1500000 gp,
2009-05-03,1500000 gp,
2009-05-04,1500000 gp,
2009-05-05,1500000 gp,
2009-05-06,1700000 gp,
2009-05-07,1700000 gp,
2009-05-08,1700000 gp,
2009-05-09,1600000 gp,
2009-05-10,1500000 gp,
2009-05-11,1400000 gp,
2009-05-12,1400000 gp,
2009-05-13,1400000 gp,
2009-05-14,1400000 gp,
2009-05-15,1400000 gp,
2009-05-16,1400000 gp,
2009-05-17,1400000 gp,
2009-05-18,1500000 gp,
2009-05-19,1500000 gp,
2009-05-20,1500000 gp,
2009-05-21,1500000 gp,
2009-05-22,1500000 gp,
2009-05-23,1500000 gp,
2009-05-24,1500000 gp,
2009-05-25,1500000 gp,
2009-05-26,1500000 gp,
2009-05-27,1500000 gp,
2009-05-28,1500000 gp,
2009-05-29,1500000 gp,
2009-05-30,1500000 gp,
2009-05-31,1500000 gp,
2009-06-01,1500000 gp,
2009-06-02,1500000 gp,
2009-06-03,1500000 gp,
2009-06-04,1500000 gp,
2009-06-05,1500000 gp,
2009-06-06,1600000 gp,
2009-06-07,1600000 gp,
2009-06-08,1600000 gp,
2009-06-09,1600000 gp,
2009-06-10,1600000 gp,
2009-06-11,1600000 gp,
2009-06-12,1600000 gp,
2009-06-13,1600000 gp,
2009-06-14,1600000 gp,
2009-06-15,1700000 gp,
2009-06-16,1900000 gp,
2009-06-17,1900000 gp,
2009-06-18,1800000 gp,
2009-06-19,1800000 gp,
2009-06-20,1700000 gp,
2009-06-21,1700000 gp,
2009-06-22,1800000 gp,
2009-06-23,1900000 gp,
2009-06-24,1900000 gp,
2009-06-25,1900000 gp,
2009-06-26,1900000 gp,
2009-06-27,2000000 gp,
2009-06-28,2000000 gp,
2009-06-29,2000000 gp,
2009-06-30,2000000 gp,
2009-07-01,2100000 gp,
2009-07-02,2200000 gp,
2009-07-03,2300000 gp,
2009-07-04,2300000 gp,
2009-07-05,2300000 gp,
2009-07-06,2400000 gp,
2009-07-07,2400000 gp,
2009-07-08,2400000 gp,
2009-07-09,2200000 gp,
2009-07-10,2000000 gp,
2009-07-11,2000000 gp,
2009-07-12,2000000 gp,
2009-07-13,2200000 gp,
2009-07-14,2200000 gp,
2009-07-15,2000000 gp,
2009-07-16,1900000 gp,
2009-07-17,2000000 gp,
2009-07-18,2200000 gp,
2009-07-19,2200000 gp,
2009-07-20,2300000 gp,
2009-07-21,2300000 gp,
2009-07-22,2300000 gp,
2009-07-23,2400000 gp,
2009-07-24,2400000 gp,
2009-07-25,2400000 gp,
2009-07-26,2400000 gp,
2009-07-27,2400000 gp,
2009-07-28,2700000 gp,
2009-07-29,2700000 gp,
2009-07-30,3000000 gp,
2009-07-31,2900000 gp,
2009-08-01,2700000 gp,
2009-08-02,2500000 gp,
2009-08-03,2300000 gp,
